FIPS,STATE,COUNTY,ARC
47153,Tennessee,Sequatchie,TRUE
47155,Tennessee,Sevier,TRUE
47159,Tennessee,Smith,TRUE
47163,Tennessee,Sullivan,TRUE
47171,Tennessee,Unicoi,TRUE
47173,Tennessee,Union,TRUE
47175,Tennessee,Van Buren,TRUE
47177,Tennessee,Warren,TRUE
47179,Tennessee,Washington,TRUE
47185,Tennessee,White,TRUE
51005,Virginia,Alleghany + Covington city,TRUE
51017,Virginia,Bath,TRUE
51021,Virginia,Bland,TRUE
51023,Virginia,Botetourt,TRUE
51027,Virginia,Buchanan,TRUE
51035,Virginia,Carroll + Galax city,TRUE
51045,Virginia,Craig,TRUE
51051,Virginia,Dickenson,TRUE
51063,Virginia,Floyd,TRUE
51071,Virginia,Giles,TRUE
51077,Virginia,Grayson,TRUE
51089,Virginia,Henry + Martinsville city,TRUE
51091,Virginia,Highland,TRUE
51105,Virginia,Lee,TRUE
51121,Virginia,Montgomery + Radford city,TRUE
51141,Virginia,Patrick,TRUE
51155,Virginia,Pulaski,TRUE
51163,Virginia,Rockbridge + Buena Vista city + Lexington city,TRUE
51167,Virginia,Russell,TRUE
51169,Virginia,Scott,TRUE
51173,Virginia,Smyth,TRUE
51185,Virginia,Tazewell,TRUE
51191,Virginia,Washington + Bristol city,TRUE
51195,Virginia,Wise + Norton city,TRUE
51197,Virginia,Wythe,TRUE
54001,West Virginia,Barbour,TRUE
54003,West Virginia,Berkeley,TRUE
54005,West Virginia,Boone,TRUE
54007,West Virginia,Braxton,TRUE
54009,West Virginia,Brooke,TRUE
54011,West Virginia,Cabell,TRUE
54013,West Virginia,Calhoun,TRUE
54015,West Virginia,Clay,TRUE
54017,West Virginia,Doddridge,TRUE
54019,West Virginia,Fayette,TRUE
54021,West Virginia,Gilmer,TRUE
54023,West Virginia,Grant,TRUE
54025,West Virginia,Greenbrier,TRUE
54027,West Virginia,Hampshire,TRUE
54029,West Virginia,Hancock,TRUE
54031,West Virginia,Hardy,TRUE
54033,West Virginia,Harrison,TRUE
54035,West Virginia,Jackson,TRUE
54037,West Virginia,Jefferson,TRUE
54039,West Virginia,Kanawha,TRUE
54041,West Virginia,Lewis,TRUE
54043,West Virginia,Lincoln,TRUE
54045,West Virginia,Logan,TRUE
54047,West Virginia,McDowell,TRUE
54049,West Virginia,Marion,TRUE
54051,West Virginia,Marshall,TRUE
54053,West Virginia,Mason,TRUE
54055,West Virginia,Mercer,TRUE
54057,West Virginia,Mineral,TRUE
54059,West Virginia,Mingo,TRUE
54061,West Virginia,Monongalia,TRUE
54063,West Virginia,Monroe,TRUE
54065,West Virginia,Morgan,TRUE
54067,West Virginia,Nicholas,TRUE
54069,West Virginia,Ohio,TRUE
54071,West Virginia,Pendleton,TRUE
54073,West Virginia,Pleasants,TRUE
54075,West Virginia,Pocahontas,TRUE
54077,West Virginia,Preston,TRUE
